sample,proxy,sst
DSDP36-I-1,1.837,11.99355503
DSDP36-I-14,1.712,12.58972691
DSDP36-I-16,1.858,11.89312161
DSDP36-I-22,1.631,12.97490587
DSDP36-I-24,0.98,16.08238291
DSDP36-I-25,2.471,8.966376991
DSDP36-I-3,1.054,15.72625312
DSDP36-I-31,1.075,15.62646697
DSDP36-I-33,0.386,18.91535948
DSDP36-I-35,1.644,12.91187453
DSDP36-I-38,0.962,16.16863523
DSDP36-I-40,2.09,10.78586748
DSDP36-I-44,1.046,15.76660494
DSDP36-I-46,3.152,5.721799454
DSDP36-I-49,1.779,12.26995364
DSDP36-I-5,0.626,17.76755539
DSDP36-I-9,1.881,11.78152547
DSDP36-II-11,2.604,8.334350921
DSDP36-II-14,2.604,8.334347779
DSDP36-II-18,1.674,12.76860589
DSDP36-II-20,1.041,15.78909772
DSDP36-II-22,2.887,6.982105235
DSDP36-II-25,3.12,5.871796901
DSDP36-II-27,2.633,8.196887226
DSDP36-II-29,1.379,14.17693679
DSDP36-II-3,1.382,14.16165494
DSDP36-II-31,2.209,10.21617095
DSDP36-II-33,2.619,8.262678015
DSDP36-II-38,2.913,6.857612852
DSDP36-II-42,2.212,10.20450088
DSDP36-II-44,1.147,15.28180838
DSDP36-II-46,0.846,16.71972552
DSDP36-II-48,2.743,7.672622456
DSDP36-II-49,2.539,8.641588037
DSDP36-II-5,1.058,15.70995424
DSDP36-II-7,1.285,14.62502153
DSDP36-II-9,2.978,6.551277511
